transition_id,machine_id,object_family,state_field,machine_class,transition_kind,raw_transition,source_state_or_selector,source_ref_kind,event_code_or_null,target_state_or_selector,target_ref_kind,source_file,source_heading_or_logical_block,rationale
machine_amendment_bundle_bundle_state_edge_001,machine_amendment_bundle_bundle_state,AmendmentBundle,bundle_state,lifecycle,explicit_event_edge,PREPARED --bundle_review_complete--> FROZEN,PREPARED,state,bundle_review_complete,FROZEN,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1152[AmendmentBundle.bundle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_amendment_bundle_bundle_state_edge_002,machine_amendment_bundle_bundle_state,AmendmentBundle,bundle_state,lifecycle,explicit_event_edge,FROZEN --submission_begin--> SUBMITTED,FROZEN,state,submission_begin,SUBMITTED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1153[AmendmentBundle.bundle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_amendment_bundle_bundle_state_edge_003,machine_amendment_bundle_bundle_state,AmendmentBundle,bundle_state,lifecycle,explicit_event_edge,SUBMITTED --authority_confirms--> CONFIRMED,SUBMITTED,state,authority_confirms,CONFIRMED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1154[AmendmentBundle.bundle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_amendment_bundle_bundle_state_edge_004,machine_amendment_bundle_bundle_state,AmendmentBundle,bundle_state,lifecycle,explicit_event_edge,PREPARED --input_change_before_freeze--> VOID,PREPARED,state,input_change_before_freeze,VOID,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1155[AmendmentBundle.bundle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_amendment_bundle_bundle_state_edge_005,machine_amendment_bundle_bundle_state,AmendmentBundle,bundle_state,lifecycle,explicit_event_edge,FROZEN --same_scope_inputs_change--> SUPERSEDED,FROZEN,state,same_scope_inputs_change,SUPERSEDED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1156[AmendmentBundle.bundle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_amendment_bundle_bundle_state_edge_006,machine_amendment_bundle_bundle_state,AmendmentBundle,bundle_state,lifecycle,explicit_event_edge,SUBMITTED --newer_same_scope_bundle_replaces_active_chain--> SUPERSEDED,SUBMITTED,state,newer_same_scope_bundle_replaces_active_chain,SUPERSEDED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1157[AmendmentBundle.bundle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_amendment_case_lifecycle_state_edge_001,machine_amendment_case_lifecycle_state,AmendmentCase,lifecycle_state,lifecycle,explicit_event_edge,NOT_ELIGIBLE --eligibility_check_pass--> ELIGIBLE,NOT_ELIGIBLE,state,eligibility_check_pass,ELIGIBLE,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1107[AmendmentCase.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_amendment_case_lifecycle_state_edge_002,machine_amendment_case_lifecycle_state,AmendmentCase,lifecycle_state,lifecycle,explicit_event_edge,NOT_ELIGIBLE --baseline_or_window_unproven--> RECONCILE_REQUIRED,NOT_ELIGIBLE,state,baseline_or_window_unproven,RECONCILE_REQUIRED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1108[AmendmentCase.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_amendment_case_lifecycle_state_edge_003,machine_amendment_case_lifecycle_state,AmendmentCase,lifecycle_state,lifecycle,explicit_event_edge,RECONCILE_REQUIRED --reconciliation_complete--> ELIGIBLE,RECONCILE_REQUIRED,state,reconciliation_complete,ELIGIBLE,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1109[AmendmentCase.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_amendment_case_lifecycle_state_edge_004,machine_amendment_case_lifecycle_state,AmendmentCase,lifecycle_state,lifecycle,explicit_event_edge,ELIGIBLE --intent_required_by_authority_flow--> INTENT_REQUIRED,ELIGIBLE,state,intent_required_by_authority_flow,INTENT_REQUIRED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1110[AmendmentCase.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
