evaluation_order_index,gate_code,gate_class,non_access_stage_index_or_null,gate_family,evaluation_scope_condition,conditional_runtime_scope_tokens,upstream_gate_dependencies,source_file,source_heading_or_logical_block
1,ACCESS_GATE,access,,access_control,"Always first, before manifest allocation and before any non-access gate.",,,Algorithm/exact_gate_logic_and_decision_tables.md,Algorithm/exact_gate_logic_and_decision_tables.md::L266[ACCESS_GATE]
2,MANIFEST_GATE,non_access,1,preseal_manifest_integrity,Ordered pre-seal gate; runs on the frozen manifest before seal.,,,Algorithm/exact_gate_logic_and_decision_tables.md,Algorithm/exact_gate_logic_and_decision_tables.md::L332[MANIFEST_GATE]
3,ARTIFACT_CONTRACT_GATE,non_access,2,artifact_contract_safety,Ordered pre-seal gate; runs after MANIFEST_GATE and before seal.,,MANIFEST_GATE,Algorithm/exact_gate_logic_and_decision_tables.md,Algorithm/exact_gate_logic_and_decision_tables.md::L428[ARTIFACT_CONTRACT_GATE]
4,INPUT_BOUNDARY_GATE,non_access,3,input_boundary,Ordered pre-seal gate; runs after artifact-contract validation and before seal.,,MANIFEST_GATE; ARTIFACT_CONTRACT_GATE,Algorithm/exact_gate_logic_and_decision_tables.md,Algorithm/exact_gate_logic_and_decision_tables.md::L484[INPUT_BOUNDARY_GATE]
5,DATA_QUALITY_GATE,non_access,4,data_quality,Ordered pre-seal gate; runs last in the canonical pre-seal tape before seal.,,MANIFEST_GATE; ARTIFACT_CONTRACT_GATE; INPUT_BOUNDARY_GATE,Algorithm/exact_gate_logic_and_decision_tables.md,Algorithm/exact_gate_logic_and_decision_tables.md::L540[DATA_QUALITY_GATE]
6,RETENTION_EVIDENCE_GATE,non_access,5,retention_evidence,Runs once proof and graph evidence exist; appends post-seal without rewriting the frozen pre-seal tape.,,DATA_QUALITY_GATE,Algorithm/exact_gate_logic_and_decision_tables.md,Algorithm/exact_gate_logic_and_decision_tables.md::L620[RETENTION_EVIDENCE_GATE]
7,PARITY_GATE,non_access,6,authority_parity,Runs after retention evidence once comparison artifacts exist.,,RETENTION_EVIDENCE_GATE,Algorithm/exact_gate_logic_and_decision_tables.md,Algorithm/exact_gate_logic_and_decision_tables.md::L719[PARITY_GATE]
8,TRUST_GATE,non_access,7,trust_synthesis,Runs after parity and upstream non-access gate posture are available.,,PARITY_GATE; RETENTION_EVIDENCE_GATE; DATA_QUALITY_GATE; INPUT_BOUNDARY_GATE; ARTIFACT_CONTRACT_GATE; MANIFEST_GATE,Algorithm/exact_gate_logic_and_decision_tables.md,Algorithm/exact_gate_logic_and_decision_tables.md::L787[TRUST_GATE]
9,AMENDMENT_GATE,non_access,8,amendment_progression,Runs only when runtime_scope[] includes amendment_intent or amendment_submit; a narrow early-failure amendment-basis branch may emit before parity/trust.,amendment_intent; amendment_submit,TRUST_GATE,Algorithm/exact_gate_logic_and_decision_tables.md,Algorithm/exact_gate_logic_and_decision_tables.md::L1125[AMENDMENT_GATE]
10,FILING_GATE,non_access,9,filing_progression,"Runs when runtime_scope[] includes prepare_submission, submit, or amendment_submit; early pre-trust or pre-packet branches still require an explicit filing gate record.",prepare_submission; submit; amendment_submit,TRUST_GATE; PARITY_GATE; AMENDMENT_GATE,Algorithm/exact_gate_logic_and_decision_tables.md,Algorithm/exact_gate_logic_and_decision_tables.md::L880[FILING_GATE]
11,SUBMISSION_GATE,non_access,10,submission_preflight,Runs immediately before transmit when live submission is actually attempted.,submit; amendment_submit,FILING_GATE,Algorithm/exact_gate_logic_and_decision_tables.md,Algorithm/exact_gate_logic_and_decision_tables.md::L1060[SUBMISSION_GATE]
