term_id,canonical_term,term_category,definition,authoritative_source_refs,machine_field_names,canonical_contract_names,allowed_aliases,prohibited_aliases,related_terms,visibility_or_audience_notes,drift_risk_level,notes,source_heading_or_logical_block
TERM_ACCESS_BINDING,Access Binding,authority,"A frozen fingerprint of the evaluated authorization posture for a specific command or run context, including effective scope, policy snapshot, delegation/link snapshots, and partition coverage.",Algorithm/actor_and_authority_model.md#3-2-core-concepts,,AccessBinding,Access Binding,,TERM_SNAPSHOT,,high,,3.2 Core concepts
TERM_ACCESS_BINDING_HASH,Access Binding Hash,lineage,"The deterministic hash of the effective access decision, executable scope, executable partition coverage, masking rules, approval requirements, required authentication level, and other frozen authorization lineage needed to distinguish one authorized posture from another. It binds idempotency, manifest reuse, and authority request identity to the actual authorized posture rather than raw caller intent alone.",Algorithm/glossary.md::L54[access-binding-hash],access_binding_hash,,Access Binding Hash | access_binding_hash,,TERM_AUTHORITY | TERM_AUTHORITY_OF_RECORD | TERM_VISIBILITY_BOUNDARY_CLASSES,Authority-facing terminology must preserve external authority-of-record semantics.,high,,Execution lineage and identity terms
TERM_ACTOR,Actor,authority,"Any human, machine, or external system that can cause, approve, acknowledge, reject, or materially influence a run.",Algorithm/actor_and_authority_model.md#3-2-core-concepts,,Actor,Actor,,,,high,,3.2 Core concepts
TERM_AMENDMENT_ELIGIBILITY_CONTRACT,Amendment Eligibility Contract,shell_route,"The immutable split between amendment trigger, live legal eligibility, and readiness reuse. It records whether amendment-aware workflow was triggered at all, whether the case is eligible now, whether any persisted intent-to-amend readiness remains `FRESH`, `STALE`, or `NOT_APPLICABLE`, and the exact baseline/retroactive/window hashes and reason codes that justify that posture.",Algorithm/amendment_and_drift_semantics.md | Algorithm/data_model.md | Algorithm/data_model.md::L1061[AmendmentEligibilityContract] | Algorithm/exact_gate_logic_and_decision_tables.md | Algorithm/glossary.md::L258[amendment-eligibility-contract],amendment_eligibility_contract,AmendmentEligibilityContract | FRESH | STALE | amendment_eligibility_contract,Amendment Eligibility Contract | AmendmentEligibilityContract | amendment_eligibility_contract,,,,high,,"Shell, route, and collaboration terms"
TERM_APPEND_ONLY_OUTCOME_PROJECTION,Append-Only Outcome Projection,shell_route,"The authoritative post-seal-growth envelope on `RunManifest`. It owns the gate tape, historical post-seal basis, output refs, submission refs, drift refs, decision-bundle hash, deterministic outcome hash, and replay attestation ref that may append after seal without rewriting the frozen execution envelope. Its `output_refs{...}` entries remain structured output-link objects so proof/twin/replay linkage keeps artifact hashes and dependency identities explicit.",Algorithm/glossary.md::L301[append-only-outcome-projection],append_only_outcome_projection,RunManifest,Append-Only Outcome Projection | append_only_outcome_projection,,TERM_DECISION_BUNDLE | TERM_DRIFT | TERM_GATE | TERM_HISTORICAL_POST_SEAL_BASIS | TERM_RUN_MANIFEST,,high,,"Shell, route, and collaboration terms"
TERM_ARTIFACT_AFFORDANCE_CONTRACT,Artifact Affordance Contract,shell_route,"The shared FE-69 current-versus-history presentation packet bound into portal document requests, portal approval packs, customer-visible collaboration file reads, and native secondary preview windows. It freezes the visible primary subject, explicit header posture, history disclosure mode, and default preview/download/print targets so current artifacts remain summary-first while historical, superseded, rejected, expired, or quarantined artifacts stay explicitly secondary.",Algorithm/collaboration_workspace_contract.md | Algorithm/customer_client_portal_experience_contract.md | Algorithm/glossary.md::L416[artifact-affordance-contract],artifact_affordance | artifact_affordance_contract,ArtifactAffordanceContract,Artifact Affordance Contract | ArtifactAffordanceContract | artifact_affordance,,TERM_VISIBILITY_BOUNDARY_CLASSES,Audience or visibility-sensitive term. Preserve the exact projection boundary named in the corpus.,high,,"Shell, route, and collaboration terms"
TERM_AUDITINVESTIGATIONFRAME,AuditInvestigationFrame,shell_route,Authoritative route-visible read model named in README Shared Spine Vocabulary.,Algorithm/README.md#shared-spine-vocabulary | Algorithm/admin_governance_console_architecture.md | Algorithm/data_model.md | Algorithm/data_model.md::L2134[AuditInvestigationFrame] | Algorithm/frontend_shell_and_interaction_law.md,audit_investigation_frame,AuditInvestigationFrame,AuditInvestigationFrame,,,,high,,Shared Spine Vocabulary
TERM_AUDIT_STREAM,Audit Stream,observability,"The append-only audit chain in which events are durably ordered for a given integrity domain. Hash chaining, when enabled, is evaluated within this stream.",Algorithm/glossary.md::L83[audit-stream],audit_stream_ref,,Audit Stream | audit_stream_ref,,,,medium,,Audit ordering and integrity terms
TERM_AUTHORITY,Authority,authority,"The external system of record whose acknowledgements define legal submission state (e.g., a tax authority).",Algorithm/glossary.md::L9[authority],,,Authority,,TERM_AUTHORITY_OF_RECORD | TERM_VISIBILITY_BOUNDARY_CLASSES,Authority-facing terminology must preserve external authority-of-record semantics.,high,,Core engine terms
TERM_AUTHORITYLINKINVENTORYITEM,AuthorityLinkInventoryItem,shell_route,Authoritative route-visible read model named in README Shared Spine Vocabulary.,Algorithm/README.md#shared-spine-vocabulary | Algorithm/admin_governance_console_architecture.md | Algorithm/data_model.md | Algorithm/data_model.md::L2073[AuthorityLinkInventoryItem] | Algorithm/invention_and_system_boundary.md,authority_link_inventory_item,AuthorityLinkInventoryItem,AuthorityLinkInventoryItem,,,,high,,Shared Spine Vocabulary
TERM_AUTHORITY_ACKNOWLEDGEMENT,AUTHORITY_ACKNOWLEDGEMENT,evidence,"A record issued by the authority of record confirming, rejecting, pending, or otherwise defining the legal state of an obligation or submission.",Algorithm/canonical_source_and_evidence_taxonomy.md#4-3-source-classes-by-origin,,AUTHORITY_ACKNOWLEDGEMENT,AUTHORITY_ACKNOWLEDGEMENT | Authority Acknowledgement,,TERM_AUTHORITY | TERM_AUTHORITY_LAYER_BOUNDARY | TERM_AUTHORITY_OF_RECORD | TERM_AUTHORITY_REFERENCE | TERM_VISIBILITY_BOUNDARY_CLASSES,Authority-facing terminology must preserve external authority-of-record semantics.,high,,4.3 Source classes by origin
TERM_AUTHORITY_INGRESS_PROOF_CONTRACT,Authority Ingress Proof Contract,authority,"The grouped authenticated ingress and correlation witness copied across `AuthorityIngressReceipt`, asynchronous `AuthorityResponseEnvelope`, response-backed `AuthorityInteractionRecord`, request-backed `SubmissionRecord`, and authority-settling `ObligationMirror`. It freezes the authenticated channel state, required authentication evidence modes and refs, canonical delivery identity basis, exact lineage-binding basis, canonical ingress receipt anchor, duplicate-meaning identity, and mutation-gate posture so callback, poll, and recovery flows cannot mutate legal state from weak correlation, undeclared heuristics, or transport-memory-only recovery.",Algorithm/authority_interaction_protocol.md | Algorithm/authority_truth_and_internal_projection_separation_contract.md | Algorithm/data_model.md | Algorithm/deployment_and_resilience_contract.md | Algorithm/glossary.md::L196[authority-ingress-proof-contract],authority_ingress_proof_contract,AuthorityIngressProofContract | AuthorityIngressReceipt | AuthorityInteractionRecord | AuthorityResponseEnvelope | ObligationMirror | SubmissionRecord | authority_ingress_proof_contract,Authority Ingress Proof Contract | AuthorityIngressProofContract | authority_ingress_proof_contract,,TERM_AUTHORITY | TERM_AUTHORITY_OF_RECORD | TERM_GATE | TERM_VISIBILITY_BOUNDARY_CLASSES,Authority-facing terminology must preserve external authority-of-record semantics.,high,,"Shell, route, and collaboration terms"
TERM_AUTHORITY_LAYER_BOUNDARY,Authority Layer Boundary,authority,"The shared FE-52 control packet bound into `AuthorizationDecision`, `GovernanceAccessSimulation`, `AuthorityBinding`, `AuthorityOperation`, and `AuthorityRequestEnvelope`. It freezes the active principal class, tenant permission posture, client delegation posture, imported-delegation freshness, authority-link readiness, exceptional-authority posture, human-gate resolution state, and the explicit rules that tenant permission never substitutes for delegation or authority-link readiness, authority links never prove delegation coverage, and internal exception paths never outrank authority-of-record truth.",Algorithm/actor_and_authority_model.md | Algorithm/data_model.md | Algorithm/data_model.md::L44[AuthorityLayerBoundaryContract] | Algorithm/glossary.md::L432[authority-layer-boundary],authority_layer_boundary | authority_layer_boundary_contract,AuthorityBinding | AuthorityLayerBoundaryContract | AuthorityOperation | AuthorityRequestEnvelope | AuthorizationDecision | GovernanceAccessSimulation,Authority Layer Boundary | authority_layer_boundary,,TERM_AUTHORITY | TERM_AUTHORITY_ACKNOWLEDGEMENT | TERM_AUTHORITY_LINK | TERM_AUTHORITY_OF_RECORD | TERM_AUTHORITY_REFERENCE | TERM_CLIENT | TERM_EXCEPTIONAL_AUTHORITY | TERM_GATE | TERM_PRINCIPAL | TERM_TENANT,Audience or visibility-sensitive term. Preserve the exact projection boundary named in the corpus.,high,,"Shell, route, and collaboration terms"
TERM_AUTHORITY_LINK,Authority Link,authority,A persisted record stating that software has been granted authority by the relevant external actor to call the authority APIs in a defined scope.,Algorithm/actor_and_authority_model.md#3-2-core-concepts | Algorithm/actor_and_authority_model.md#rule-d-authority-link-rule | Algorithm/admin_governance_console_architecture.md#4-4-governance-authority-links | Algorithm/admin_governance_console_architecture.md#d-authoritylink | Algorithm/data_model.md::L91[AuthorityLink],authority_link,AuthorityLink,Authority Link,,TERM_ACTOR | TERM_AUTHORITY | TERM_AUTHORITY_OF_RECORD | TERM_VISIBILITY_BOUNDARY_CLASSES,Authority-facing terminology must preserve external authority-of-record semantics.,high,,3.2 Core concepts
TERM_AUTHORITY_OF_RECORD,Authority of Record,authority,"The external system whose acknowledgement or returned state defines legal submission status. In the current embodiment, this is HMRC.",Algorithm/actor_and_authority_model.md#3-2-core-concepts,,AuthorityOfRecord,Authority of Record,internal success state | submission success,TERM_AUTHORITY_ACKNOWLEDGEMENT | TERM_AUTHORITY_LAYER_BOUNDARY | TERM_AUTHORITY_REFERENCE,,high,,3.2 Core concepts
TERM_AUTHORITY_OF_RECORD_PRECEDENCE,Authority-of-record precedence,authority,"The external authority's acknowledgement or returned status that defines legal submission truth. Internal intent, internal UI state, or workflow state SHALL never outrank this layer.",Algorithm/actor_and_authority_model.md#3-4-authority-layers,,,Authority-of-record precedence,,TERM_AUTHORITY | TERM_AUTHORITY_OF_RECORD | TERM_VISIBILITY_BOUNDARY_CLASSES,Authority-facing terminology must preserve external authority-of-record semantics.,high,,3.4 Authority layers
TERM_AUTHORITY_RECONCILIATION_ANALYTICS_SNAPSHOT,Authority Reconciliation Analytics Snapshot,authority,"The replay-safe rollup emitted for one authority operation profile from persisted reconciliation control contracts. It freezes budget-state counts, resend-refusal counts, escalation reason and latency counts, ambiguity counts, replay-resume counts, and tuning recommendation codes without promoting transport retry telemetry into source-of-truth.",Algorithm/authority_interaction_protocol.md | Algorithm/data_model.md | Algorithm/data_model.md::L2591[AuthorityReconciliationAnalyticsSnapshot] | Algorithm/glossary.md::L212[authority-reconciliation-analytics-snapshot] | Algorithm/modules.md,authority_reconciliation_analytics_snapshot,AuthorityReconciliationAnalyticsSnapshot | authority_reconciliation_analytics_snapshot,Authority Reconciliation Analytics Snapshot | AuthorityReconciliationAnalyticsSnapshot | authority_reconciliation_analytics_snapshot,,TERM_AUTHORITY | TERM_AUTHORITY_OF_RECORD | TERM_AUTHORITY_RECONCILIATION_CONTROL_CONTRACT | TERM_VISIBILITY_BOUNDARY_CLASSES,Authority-facing terminology must preserve external authority-of-record semantics.,high,,"Shell, route, and collaboration terms"
TERM_AUTHORITY_RECONCILIATION_CONTROL_CONTRACT,Authority Reconciliation Control Contract,authority,"The grouped reconciliation-budget packet copied into `AuthorityInteractionRecord` and reused by unresolved `SubmissionRecord` and `ObligationMirror`. It freezes the authority operation profile, unresolved truth posture, attempt count, remaining budget, next follow-up, resend legality, replay-resume policy, escalation owner/workflow/evidence, and analytics outcome class so restore, replay, and downstream projections do not reconstruct unresolved authority control from timers or retry logs.",Algorithm/glossary.md::L205[authority-reconciliation-control-contract] | Algorithm/modules.md#persist-authority-reconciliation-control,authority_reconciliation_control_contract | reconciliation_control_contract,AuthorityInteractionRecord | AuthorityReconciliationControlContract | ObligationMirror | SubmissionRecord | reconciliation_control_contract,Authority Reconciliation Control Contract | AuthorityReconciliationControlContract | reconciliation_control_contract,,TERM_AUTHORITY | TERM_AUTHORITY_OF_RECORD | TERM_VISIBILITY_BOUNDARY_CLASSES,Authority-facing terminology must preserve external authority-of-record semantics.,high,,"Shell, route, and collaboration terms"
TERM_AUTHORITY_REFERENCE,AUTHORITY_REFERENCE,evidence,Authority-originated informational or comparison data that is not itself the legal acknowledgement of a submission state.,Algorithm/canonical_source_and_evidence_taxonomy.md#4-3-source-classes-by-origin,,AUTHORITY_REFERENCE,AUTHORITY_REFERENCE | Authority Reference,,TERM_AUTHORITY | TERM_AUTHORITY_ACKNOWLEDGEMENT | TERM_AUTHORITY_LAYER_BOUNDARY | TERM_AUTHORITY_OF_RECORD | TERM_VISIBILITY_BOUNDARY_CLASSES,Authority-facing terminology must preserve external authority-of-record semantics.,high,,4.3 Source classes by origin
TERM_AUTHORITY_REQUEST_IDENTITY_CONTRACT,Authority Request Identity Contract,authority,"The grouped byte-stable request identity packet copied across `AuthorityRequestEnvelope`, `AuthorityInteractionRecord`, and request-backed `SubmissionRecord`. It freezes the manifest/basis spine, canonical HTTP identity, duplicate bucket identity, binding lineage, access/policy hash, and partition scope so recovery and reconciliation do not reconstruct request identity from adjacent operation or binding artifacts.",Algorithm/amendment_and_drift_semantics.md | Algorithm/authority_interaction_protocol.md | Algorithm/collaboration_workspace_contract.md | Algorithm/glossary.md::L190[authority-request-identity-contract],authority_request_identity_contract | request_identity_contract,AuthorityInteractionRecord | AuthorityRequestEnvelope | AuthorityRequestIdentityContract | SubmissionRecord | request_identity_contract,Authority Request Identity Contract | AuthorityRequestIdentityContract | request_identity_contract,,TERM_AUTHORITY | TERM_AUTHORITY_OF_RECORD | TERM_VISIBILITY_BOUNDARY_CLASSES,Authority-facing terminology must preserve external authority-of-record semantics.,high,,"Shell, route, and collaboration terms"
TERM_AUTHORITY_SANDBOX_COVERAGE_CONTRACT,Authority Sandbox Coverage Contract,authority,"The shared BE-91 release-facing sandbox breadth packet bound into `VerificationSuiteResult` and `GateAdmissibilityRecord`, with its canonical hash echoed by authority-sandbox rows in `ReleaseVerificationManifest` and `ReleaseVerificationManifestAssemblyContract`. It freezes the exact enabled provider-profile set, exact exercised operation-family set, sandbox request and duplicate namespace hashes, and the required controlled-edge fail-closed cases for token rotation, binding-lineage invalidation, ambiguous ingress quarantine, duplicate-bucket change, fraud-header validation, and reconciliation-budget exhaustion.",Algorithm/authority_interaction_protocol.md | Algorithm/data_model.md | Algorithm/glossary.md::L463[authority-sandbox-coverage-contract] | Algorithm/release_candidate_identity_and_promotion_evidence_contract.md | Algorithm/verification_and_release_gates.md,authority_sandbox_coverage_contract,AuthoritySandboxCoverageContract | GateAdmissibilityRecord | ReleaseVerificationManifest | ReleaseVerificationManifestAssemblyContract | VerificationSuiteResult | authority_sandbox_coverage_contract,Authority Sandbox Coverage Contract | AuthoritySandboxCoverageContract | authority_sandbox_coverage_contract,,TERM_AUTHORITY | TERM_AUTHORITY_OF_RECORD | TERM_GATE | TERM_VISIBILITY_BOUNDARY_CLASSES,Authority-facing terminology must preserve external authority-of-record semantics.,high,,"Shell, route, and collaboration terms"
TERM_BACKFILL_EXECUTION_CONTRACT,Backfill Execution Contract,release,"The shared FE-47 migration-backfill packet bound into `SchemaMigrationLedger`. It freezes whether backfill is required, the exact target schema bundle, the lawful execution state, the affected artifact families, and the idempotent append-or-derive lineage rules so schema evolution cannot silently double-apply, skip audit lineage, or mutate historical meaning in place.",Algorithm/data_model.md | Algorithm/data_model.md::L1012[BackfillExecutionContract] | Algorithm/deployment_and_resilience_contract.md | Algorithm/glossary.md::L499[backfill-execution-contract] | Algorithm/modules.md,backfill_execution_contract,BackfillExecutionContract | SchemaMigrationLedger | backfill_execution_contract,Backfill Execution Contract | BackfillExecutionContract | backfill_execution_contract,,,,high,,"Shell, route, and collaboration terms"
TERM_BASELINE_SELECTION_CONTRACT,Baseline Selection Contract,shell_route,"The immutable exact-scope baseline-choice proof attached to `DriftBaselineEnvelope`. It freezes the active exact scope, chosen scope-match class, dominance ranks, continuity class, and `baseline_anchor_weight` together with explicit uncertainty reasons so broader, out-of-band, or authority-corrected truth cannot later masquerade as an exact same-chain baseline.",Algorithm/compute_parity_and_trust_formulas.md | Algorithm/data_model.md | Algorithm/data_model.md::L1058[BaselineSelectionContract] | Algorithm/glossary.md::L252[baseline-selection-contract] | Algorithm/modules.md,baseline_anchor_weight | baseline_selection_contract | selection_contract,BaselineSelectionContract | DriftBaselineEnvelope | selection_contract,Baseline Selection Contract | BaselineSelectionContract | selection_contract,,TERM_AUTHORITY | TERM_AUTHORITY_OF_RECORD | TERM_DRIFT | TERM_VISIBILITY_BOUNDARY_CLASSES,Authority-facing terminology must preserve external authority-of-record semantics.,high,,"Shell, route, and collaboration terms"
TERM_BOOKS_OF_ENTRY,BOOKS_OF_ENTRY,evidence,"Structured records actively maintained by the reporting subject or their operator inside a bookkeeping, spreadsheet, or bridging workflow.",Algorithm/canonical_source_and_evidence_taxonomy.md#4-3-source-classes-by-origin,,BOOKS_OF_ENTRY,BOOKS_OF_ENTRY | Books Of Entry,,TERM_REPORTING_SUBJECT,Audience or visibility-sensitive term. Preserve the exact projection boundary named in the corpus.,high,,4.3 Source classes by origin
TERM_CALM_SHELL,CALM_SHELL,shell_route,Canonical shell-family enum value for low-noise staff/operator shells.,Algorithm/README.md#shared-spine-vocabulary,,,CALM_SHELL,,TERM_SHELL_FAMILY,Closed shared-spine vocabulary. Do not rename or paraphrase when serializing shell ownership.,high,,Shared Spine Vocabulary
TERM_CANDIDATE_FACT,Candidate Fact,evidence,A normalized statement extracted from source material but not yet promoted to canonical status.,Algorithm/canonical_fact_promotion_and_partition_isolation_contract.md | Algorithm/canonical_fact_promotion_and_partition_isolation_contract.md#candidate-facts | Algorithm/canonical_source_and_evidence_taxonomy.md | Algorithm/canonical_source_and_evidence_taxonomy.md#4-2-core-objects | Algorithm/data_model.md::L1046[CandidateFact],candidate_fact,CandidateFact,Candidate Fact | CandidateFact,,TERM_CANONICAL_FACT | TERM_DERIVED_VALUE | TERM_EVIDENCE_ITEM | TERM_SOURCE_RECORD,,high,,4.2 Core objects
