edge_id,upstream_module,downstream_module,dependency_type,rationale,source_refs,shared_artifacts,run_phase_contexts
E0001,ACCESS_BLOCKED_RESPONSE,ENFORCE_ACCESS_SCOPE_AND_MASKING,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P01` between steps `P01-S003` and `P01-S005`.,Algorithm/core_engine.md,,P01::P01-S003->P01-S005
E0002,AMENDMENT_GATE,EXECUTE_AUTHORITY_CALCULATION_FLOW,external_boundary_dependency,`EXECUTE_AUTHORITY_CALCULATION_FLOW` references `AMENDMENT_GATE` in its module contract body.,Algorithm/modules.md::L1709[EXECUTE_AUTHORITY_CALCULATION_FLOW_...],,
E0003,AMENDMENT_GATE,VALIDATE_AMENDMENT_READINESS_FRESHNESS,external_boundary_dependency,`VALIDATE_AMENDMENT_READINESS_FRESHNESS` references `AMENDMENT_GATE` in its module contract body.,Algorithm/modules.md::L2216[VALIDATE_AMENDMENT_READINESS_FRESHNESS_...],,
E0004,AMENDMENT_GATE,WRITE_ARTIFACT,external_boundary_dependency,Adjacent in `RUN_ENGINE(...)` phase `P09` between steps `P09-S039` and `P09-S040`. Adjacent in `RUN_ENGINE(...)` phase `P14` between steps `P14-S005` and `P14-S006`. Adjacent in `RUN_ENGINE(...)` phase `P14` between steps `P14-S044` and `P14-S045`.,Algorithm/core_engine.md,,P09::P09-S039->P09-S040; P14::P14-S005->P14-S006; P14::P14-S044->P14-S045
E0005,ANALYZE_RETROACTIVE_IMPACT,WRITE_ARTIFACT,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P09` between steps `P09-S014` and `P09-S015`. Adjacent in `RUN_ENGINE(...)` phase `P10` between steps `P10-S009` and `P10-S010`. Adjacent in `RUN_ENGINE(...)` phase `P17` between steps `P17-S007` and `P17-S008`.,Algorithm/core_engine.md,,P09::P09-S014->P09-S015; P10::P10-S009->P10-S010; P17::P17-S007->P17-S008
E0006,APPEND_MANIFEST_GATES,PLAN_WORKFLOW,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P09` between steps `P09-S042` and `P09-S045`. Adjacent in `RUN_ENGINE(...)` phase `P14` between steps `P14-S008` and `P14-S011`. Adjacent in `RUN_ENGINE(...)` phase `P15` between steps `P15-S009` and `P15-S012`. Adjacent in `RUN_ENGINE(...)` phase `P15` between steps `P15-S024` and `P15-S027`. Adjacent in `RUN_ENGINE(...)` phase `P15` between steps `P15-S042` and `P15-S045`. Adjacent in `RUN_ENGINE(...)` phase `P16` between steps `P16-S030` and `P16-S033`.,Algorithm/core_engine.md,,P09::P09-S042->P09-S045; P14::P14-S008->P14-S011; P15::P15-S009->P15-S012; P15::P15-S024->P15-S027; P15::P15-S042->P15-S045; P16::P16-S030->P16-S033
E0007,APPEND_MANIFEST_GATES,SELECT_PRIMARY_PROOF_BUNDLE_REF,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P09` between steps `P09-S060` and `P09-S063`.,Algorithm/core_engine.md,,P09::P09-S060->P09-S063
E0008,APPEND_MANIFEST_GATES,UPDATE_MANIFEST_GATES,state_transition_dependency,`UPDATE_MANIFEST_GATES` references `APPEND_MANIFEST_GATES` in its module contract body.,Algorithm/modules.md::L639[UPDATE_MANIFEST_GATES_...],,
E0009,APPEND_MANIFEST_GATES,UPSERT_AMENDMENT_CASE,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P14` between steps `P14-S047` and `P14-S052`.,Algorithm/core_engine.md,,P14::P14-S047->P14-S052
E0010,APPEND_MANIFEST_GATES,UPSERT_FILING_CASE,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P11` between steps `P11-S012` and `P11-S014`.,Algorithm/core_engine.md,,P11::P11-S012->P11-S014
