schema_path,schema_title,catalog_object_id_or_null,catalog_object_name_or_null,ownership_class,object_kind_or_null,truth_class_or_null,authoritative_prose_source_ref_or_null,source_file,source_heading_or_logical_block,rationale
Algorithm/schemas/accepted_risk_approval.schema.json,AcceptedRiskApproval,obj_accepted_risk_approval,AcceptedRiskApproval,canonical_object_storage,append_only_artifact,internal_authoritative,Algorithm/data_model.md::L2985[AcceptedRiskApproval],Algorithm/data_model.md,Algorithm/data_model.md::L2985[AcceptedRiskApproval],`AcceptedRiskApproval` is owned by `AcceptedRiskApproval`.
Algorithm/schemas/action_authority_contract.schema.json,ActionAuthorityContract,,,control_contract,,,,,,`ActionAuthorityContract` has no exact catalog object match; ownership remains heuristic or ambiguous.
Algorithm/schemas/action_strip_state.schema.json,ActionStripState,obj_action_strip_state,ActionStripState,read_model,read_model,projection_only,Algorithm/data_model.md::L1468[ActionStripState],Algorithm/data_model.md,Algorithm/data_model.md::L1468[ActionStripState],`ActionStripState` is owned by `ActionStripState`.
Algorithm/schemas/actor_session.schema.json,ActorSession,obj_actor_session,ActorSession,canonical_object_storage,mutable_entity,internal_authoritative,Algorithm/data_model.md::L9[ActorSession],Algorithm/data_model.md,Algorithm/data_model.md::L9[ActorSession],`ActorSession` is owned by `ActorSession`.
Algorithm/schemas/amendment_bundle.schema.json,AmendmentBundle,obj_amendment_bundle,AmendmentBundle,canonical_object_storage,mutable_entity,internal_authoritative,Algorithm/data_model.md::L708[AmendmentBundle],Algorithm/data_model.md,Algorithm/data_model.md::L708[AmendmentBundle],`AmendmentBundle` is owned by `AmendmentBundle`.
Algorithm/schemas/amendment_case.schema.json,AmendmentCase,obj_amendment_case,AmendmentCase,canonical_object_storage,mutable_entity,internal_authoritative,Algorithm/data_model.md::L665[AmendmentCase],Algorithm/data_model.md,Algorithm/data_model.md::L665[AmendmentCase],`AmendmentCase` is owned by `AmendmentCase`.
Algorithm/schemas/amendment_eligibility_contract.schema.json,AmendmentEligibilityContract,,,control_contract,,,,,,`AmendmentEligibilityContract` has no exact catalog object match; ownership remains heuristic or ambiguous.
Algorithm/schemas/amendment_window_context.schema.json,AmendmentWindowContext,obj_amendment_window_context,AmendmentWindowContext,canonical_object_storage,mutable_entity,internal_authoritative,Algorithm/data_model.md::L698[AmendmentWindowContext],Algorithm/data_model.md,Algorithm/data_model.md::L698[AmendmentWindowContext],`AmendmentWindowContext` is owned by `AmendmentWindowContext`.
Algorithm/schemas/api_command_receipt.schema.json,ApiCommandReceipt,obj_api_command_receipt,ApiCommandReceipt,transport_envelope,envelope,mixed_with_guardrails,Algorithm/data_model.md::L560[ApiCommandReceipt],Algorithm/data_model.md,Algorithm/data_model.md::L560[ApiCommandReceipt],`ApiCommandReceipt` is owned by `ApiCommandReceipt`.
Algorithm/schemas/artifact_affordance_contract.schema.json,ArtifactAffordanceContract,,,control_contract,,,,,,`ArtifactAffordanceContract` has no exact catalog object match; ownership remains heuristic or ambiguous.
Algorithm/schemas/artifact_retention.schema.json,ArtifactRetention,obj_artifact_retention,ArtifactRetention,canonical_object_storage,mutable_entity,internal_authoritative,Algorithm/data_model.md::L765[ArtifactRetention],Algorithm/data_model.md,Algorithm/data_model.md::L765[ArtifactRetention],`ArtifactRetention` is owned by `ArtifactRetention`.
Algorithm/schemas/artifact_selection_contract.schema.json,ArtifactSelectionContract,,,control_contract,,,,,,`ArtifactSelectionContract` has no exact catalog object match; ownership remains heuristic or ambiguous.
Algorithm/schemas/audit_event.schema.json,AuditEvent,obj_audit_event,AuditEvent,canonical_object_storage,append_only_artifact,internal_authoritative,Algorithm/data_model.md::L3023[AuditEvent],Algorithm/data_model.md,Algorithm/data_model.md::L3023[AuditEvent],`AuditEvent` is owned by `AuditEvent`.
Algorithm/schemas/audit_investigation_frame.schema.json,AuditInvestigationFrame,obj_audit_investigation_frame,AuditInvestigationFrame,read_model,read_model,projection_only,Algorithm/data_model.md::L2134[AuditInvestigationFrame],Algorithm/data_model.md,Algorithm/data_model.md::L2134[AuditInvestigationFrame],`AuditInvestigationFrame` is owned by `AuditInvestigationFrame`.
Algorithm/schemas/authority_binding.schema.json,AuthorityBinding,obj_authority_binding,AuthorityBinding,canonical_object_storage,mutable_entity,mixed_with_guardrails,Algorithm/data_model.md::L2415[AuthorityBinding],Algorithm/data_model.md,Algorithm/data_model.md::L2415[AuthorityBinding],`AuthorityBinding` is owned by `AuthorityBinding`.
Algorithm/schemas/authority_binding_drift_sentinel_contract.schema.json,AuthorityBindingDriftSentinelContract,,,control_contract,,,,,,`AuthorityBindingDriftSentinelContract` has no exact catalog object match; ownership remains heuristic or ambiguous.
Algorithm/schemas/authority_calculation_readiness_context.schema.json,AuthorityCalculationReadinessContext,obj_authority_calculation_readiness_context,AuthorityCalculationReadinessContext,canonical_object_storage,mutable_entity,mixed_with_guardrails,Algorithm/data_model.md::L744[AuthorityCalculationReadinessContext],Algorithm/data_model.md,Algorithm/data_model.md::L744[AuthorityCalculationReadinessContext],`AuthorityCalculationReadinessContext` is owned by `AuthorityCalculationReadinessContext`.
Algorithm/schemas/authority_calculation_request.schema.json,AuthorityCalculationRequest,obj_authority_calculation_request,AuthorityCalculationRequest,canonical_object_storage,mutable_entity,mixed_with_guardrails,Algorithm/data_model.md::L729[AuthorityCalculationRequest],Algorithm/data_model.md,Algorithm/data_model.md::L729[AuthorityCalculationRequest],`AuthorityCalculationRequest` is owned by `AuthorityCalculationRequest`.
Algorithm/schemas/authority_calculation_result.schema.json,AuthorityCalculationResult,obj_authority_calculation_result,AuthorityCalculationResult,canonical_object_storage,mutable_entity,mixed_with_guardrails,Algorithm/data_model.md::L734[AuthorityCalculationResult],Algorithm/data_model.md,Algorithm/data_model.md::L734[AuthorityCalculationResult],`AuthorityCalculationResult` is owned by `AuthorityCalculationResult`.
Algorithm/schemas/authority_ingress_correlation_contract.schema.json,AuthorityIngressCorrelationContract,obj_authority_ingress_correlation_contract,AuthorityIngressCorrelationContract,control_contract,control_contract,mixed_with_guardrails,Algorithm/authority_truth_and_internal_projection_separation_contract.md::L1[AuthorityIngressCorrelationContract],Algorithm/authority_truth_and_internal_projection_separation_contract.md,Algorithm/authority_truth_and_internal_projection_separation_contract.md::L1[AuthorityIngressCorrelationContract],`AuthorityIngressCorrelationContract` is owned by `AuthorityIngressCorrelationContract`.
Algorithm/schemas/authority_ingress_investigation_snapshot.schema.json,AuthorityIngressInvestigationSnapshot,obj_authority_ingress_investigation_snapshot,AuthorityIngressInvestigationSnapshot,read_model,read_model,projection_only,Algorithm/data_model.md::L2501[AuthorityIngressInvestigationSnapshot],Algorithm/data_model.md,Algorithm/data_model.md::L2501[AuthorityIngressInvestigationSnapshot],`AuthorityIngressInvestigationSnapshot` is owned by `AuthorityIngressInvestigationSnapshot`.
Algorithm/schemas/authority_ingress_proof_contract.schema.json,AuthorityIngressProofContract,obj_authority_ingress_proof_contract,AuthorityIngressProofContract,control_contract,control_contract,mixed_with_guardrails,Algorithm/authority_truth_and_internal_projection_separation_contract.md::L1[AuthorityIngressProofContract],Algorithm/authority_truth_and_internal_projection_separation_contract.md,Algorithm/authority_truth_and_internal_projection_separation_contract.md::L1[AuthorityIngressProofContract],`AuthorityIngressProofContract` is owned by `AuthorityIngressProofContract`.
Algorithm/schemas/authority_ingress_receipt.schema.json,AuthorityIngressReceipt,obj_authority_ingress_receipt,AuthorityIngressReceipt,transport_envelope,envelope,authority_of_record_mirror,Algorithm/data_model.md::L2483[AuthorityIngressReceipt],Algorithm/data_model.md,Algorithm/data_model.md::L2483[AuthorityIngressReceipt],`AuthorityIngressReceipt` is owned by `AuthorityIngressReceipt`.
