source_formula_id,target_formula_id,dependency_kind,rationale
standard_normalization_rules,data_quality_and_completeness,shared_helper,Shared clamping and stable summation govern domain scoring.
standard_normalization_rules,record_and_adjustment_compute,shared_helper,Money rounding and exact-decimal aggregation boundary rules govern compute.
standard_normalization_rules,forecast,shared_helper,Forecast point and Monte Carlo outputs use round_money and deterministic seed handling.
standard_normalization_rules,risk_scoring,shared_helper,round_score and clamp01 normalize risk.
standard_normalization_rules,per_field_parity,shared_helper,Exact-decimal delta handling and minimum floors rely on normalization helpers.
standard_normalization_rules,evidence_graph_quality,shared_helper,safe_unit and stable ordering control graph-path quality.
standard_normalization_rules,trust_scoring_bands_and_readiness,shared_helper,"clamp100, round_score, and safe_unit normalize trust synthesis."
standard_normalization_rules,collaboration_orchestration_queue_routing,shared_helper,"half_life_score, sigmoid, and min_non_null are reused by work routing."
standard_normalization_rules,client_flow_reliability_and_completion,shared_helper,Client-flow reliability reuses shared helpers plus additional UX-specific helpers.
record_and_adjustment_compute,forecast,artifact_feed,Forecast consumes compute baseline totals and run-rate context.
record_and_adjustment_compute,parity_comparison_set_construction,artifact_feed,Parity comparison basis starts from frozen compute outputs.
record_and_adjustment_compute,trustsummary_artifact_binding,artifact_feed,ComputeResult is a required TrustSummary input artifact.
risk_scoring,trust_scoring_bands_and_readiness,score_feed,Trust uses risk_score and unresolved risk flags.
aggregate_parity,trust_scoring_bands_and_readiness,score_feed,Trust uses parity_score and comparison requirement posture.
evidence_graph_quality,trust_scoring_bands_and_readiness,score_feed,Trust uses graph_quality_score and retention penalty posture.
data_quality_and_completeness,trust_scoring_bands_and_readiness,score_feed,Trust uses data_quality_score and completeness_score.
trust_authority_uncertainty,trust_input_admissibility_and_basis,state_feed,Authority uncertainty contributes to basis ceilings.
trust_input_admissibility_and_basis,trust_scoring_bands_and_readiness,hard_ceiling,Basis ceilings cap automation and filing readiness before score math.
trust_upstream_gate_cap,trust_scoring_bands_and_readiness,hard_ceiling,Upstream gates cap legal progression even when the numeric score is green.
trust_scoring_bands_and_readiness,formula_reason_code_emission,reason_contract,Trust posture generates dominant and constrained reason-code packets.
formula_reason_code_emission,trustsummary_artifact_binding,artifact_feed,Reason codes and explainability are persisted on TrustSummary.
trust_scoring_bands_and_readiness,trust_currency_and_recalculation,currency_guard,Trust reuse depends on the persisted trust basis and score/cap posture remaining current.
trust_currency_and_recalculation,trustsummary_artifact_binding,lifecycle_feed,Supersession and append-only lineage update the TrustSummary lifecycle boundary.
aggregate_parity,trust_upstream_gate_cap,gate_intersection,Parity gate posture contributes to the frozen upstream cap before trust gating.
data_quality_and_completeness,trust_upstream_gate_cap,gate_intersection,Data-quality gate posture can force review or block before trust.
evidence_graph_quality,trust_upstream_gate_cap,gate_intersection,Retention evidence gate posture contributes to upstream legal ceilings.
trust_scoring_bands_and_readiness,formula_layer_summary,summary,The summary section compresses the full trust package into one scope statement.
