timeline_order,phase_id,phase_name,step_id,event_code,event_family,source_line_start,source_line_end,primary_lane,mandatory_correlation_keys
1,P02,"Resolve scope intent, validate runtime grammar, load any prior manifest, and choose config inheritance",P02-S017,ExistingDecisionBundleReturned,run_observability,225,225,MANIFEST_AND_LINEAGE,"access_binding_hash, client_id, continuation_of_manifest_id, duplicate_meaning_key, idempotency_key, identity_namespace_hash, manifest_id, manifest_lineage_trace_ref, mode, parent_manifest_id, policy_snapshot_hash, replay_of_manifest_id, request_hash, root_manifest_id, run_kind, tenant_id, trace_id"
2,P03,"Allocate, continue, or reuse manifest context and initialize the live experience stream",P03-S004,ManifestAllocated,manifest_lifecycle,277,277,MANIFEST_AND_LINEAGE,"access_binding_hash, client_id, continuation_of_manifest_id, duplicate_meaning_key, idempotency_key, identity_namespace_hash, manifest_id, manifest_lineage_trace_ref, mode, parent_manifest_id, policy_snapshot_hash, replay_of_manifest_id, request_hash, root_manifest_id, run_kind, tenant_id, trace_id"
3,P03,"Allocate, continue, or reuse manifest context and initialize the live experience stream",P03-S010,ManifestContextReused,manifest_lifecycle,284,284,MANIFEST_AND_LINEAGE,"access_binding_hash, client_id, continuation_of_manifest_id, duplicate_meaning_key, idempotency_key, identity_namespace_hash, manifest_id, manifest_lineage_trace_ref, mode, parent_manifest_id, policy_snapshot_hash, replay_of_manifest_id, request_hash, root_manifest_id, run_kind, tenant_id, trace_id"
4,P03,"Allocate, continue, or reuse manifest context and initialize the live experience stream",P03-S013,ManifestAllocated,manifest_lifecycle,300,300,MANIFEST_AND_LINEAGE,"access_binding_hash, client_id, continuation_of_manifest_id, duplicate_meaning_key, idempotency_key, identity_namespace_hash, manifest_id, manifest_lineage_trace_ref, mode, parent_manifest_id, policy_snapshot_hash, replay_of_manifest_id, request_hash, root_manifest_id, run_kind, tenant_id, trace_id"
5,P03,"Allocate, continue, or reuse manifest context and initialize the live experience stream",P03-S014,ContinuationChildAllocated,run_observability,301,301,MANIFEST_AND_LINEAGE,"access_binding_hash, client_id, continuation_of_manifest_id, duplicate_meaning_key, idempotency_key, identity_namespace_hash, manifest_id, manifest_lineage_trace_ref, mode, parent_manifest_id, policy_snapshot_hash, replay_of_manifest_id, request_hash, root_manifest_id, run_kind, tenant_id, trace_id"
6,P03,"Allocate, continue, or reuse manifest context and initialize the live experience stream",P03-S023,ConfigInheritanceResolved,run_observability,328,328,MANIFEST_AND_LINEAGE,"access_binding_hash, client_id, continuation_of_manifest_id, duplicate_meaning_key, idempotency_key, identity_namespace_hash, manifest_id, manifest_lineage_trace_ref, mode, parent_manifest_id, policy_snapshot_hash, replay_of_manifest_id, request_hash, root_manifest_id, run_kind, tenant_id, trace_id"
7,P03,"Allocate, continue, or reuse manifest context and initialize the live experience stream",P03-S025,InputInheritanceResolved,run_observability,331,331,MANIFEST_AND_LINEAGE,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
8,P03,"Allocate, continue, or reuse manifest context and initialize the live experience stream",P03-S038,AccessScopeBound,run_observability,347,347,MANIFEST_AND_LINEAGE,"access_binding_hash, client_id, continuation_of_manifest_id, duplicate_meaning_key, idempotency_key, identity_namespace_hash, manifest_id, manifest_lineage_trace_ref, mode, parent_manifest_id, policy_snapshot_hash, replay_of_manifest_id, request_hash, root_manifest_id, run_kind, tenant_id, trace_id"
9,P04,"Load or build the sealed pre-start context using a barriered, partition-aware execution plan",P04-S026,ReplayPreflightValidated,run_observability,454,454,SOURCE_COLLECTION_AND_CANONICALIZATION,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
10,P04,"Load or build the sealed pre-start context using a barriered, partition-aware execution plan",P04-S035,SourceCollectionStarted,run_observability,489,489,SOURCE_COLLECTION_AND_CANONICALIZATION,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
11,P04,"Load or build the sealed pre-start context using a barriered, partition-aware execution plan",P04-S054,SourceCollectionCompleted,run_observability,566,566,SOURCE_COLLECTION_AND_CANONICALIZATION,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
12,P04,"Load or build the sealed pre-start context using a barriered, partition-aware execution plan",P04-S061,LateDataDetected,run_observability,586,586,SOURCE_COLLECTION_AND_CANONICALIZATION,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
13,P04,"Load or build the sealed pre-start context using a barriered, partition-aware execution plan",P04-S093,SnapshotBuilt,run_observability,728,728,SOURCE_COLLECTION_AND_CANONICALIZATION,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
14,P04,"Load or build the sealed pre-start context using a barriered, partition-aware execution plan",P04-S096,SnapshotValidated,run_observability,736,736,SOURCE_COLLECTION_AND_CANONICALIZATION,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
